"Row in ""ProgramEos""",Swdl,Keygroup ID,Linear Distance,(Row ID = Row ID in ISP),,"Best matching SWDL files and keygroups to use for the instruments in ""Instrument-Sample Info"" based on the ""nearest"" data from ""ProgramEos"""
665,bgm0164.swd,5,"0,00",,,
666,bgm0164.swd,5,"0,00",,,
667,bgm0164.swd,5,"0,00",,,
668,bgm0049.swd,6,"0,00",,,
672,bgm0032.swd,0,"0,00",,,
681,bgm0031.swd,0,"0,00",,,
689,bgm0055.swd,0,"0,00",,,
696,bgm0092.swd,7,"0,00",,,
701,bgm0003.swd,6,"0,00",,,
705,bgm0003.swd,6,"0,00",,,
709,bgm0003.swd,6,"0,00",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
714,bgm0074.swd,0,"0,00",,,
726,bgm0037.swd,0,"0,00",,,
739,bgm0010.swd,0,"0,00",,,
746,bgm0004.swd,0,"0,00",,,
807,bgm0004.swd,0,"0,00",,,
872,bgm0027.swd,6,"0,00",,,
924,bgm0027.swd,6,"0,00",,,
983,bgm0004.swd,0,"0,00",,,
1039,bgm0004.swd,0,"0,00",,,
1092,bgm0001.swd,0,"0,00",,,
1122,bgm0080.swd,0,"0,00",,,
1124,bgm0003.swd,0,"0,00",,,
-1,-1,-1,"9999999,00",,,
1133,bgm0003.swd,0,"0,00",,,
1141,bgm0003.swd,0,"31,62",,,
1151,bgm0108.swd,0,"0,00",,,
1155,bgm0051.swd,0,"0,00",,,
1156,bgm0074.swd,0,"0,00",,,
1157,bgm0074.swd,0,"0,00",,,
1159,bgm0074.swd,0,"0,00",,,
1160,bgm0029.swd,5,"0,00",,,
1179,bgm0003.swd,0,"0,00",,,
1204,bgm0011.swd,0,"0,00",,,
1222,bgm0064.swd,10,"0,00",,,
1223,bgm0071.swd,0,"0,00",,,
1227,bgm0136.swd,0,"0,00",,,
1228,bgm0136.swd,0,"0,00",,,
1229,bgm0136.swd,0,"0,00",,,
1230,bgm0047.swd,6,"10,00",,,
1231,bgm0047.swd,6,"10,00",,,
1232,bgm0085.swd,13,"0,00",,,
1233,bgm0030.swd,6,"0,00",,,
-1,-1,-1,"9999999,00",,,
1245,bgm0015.swd,6,"0,00",,,
1312,bgm0010.swd,6,"0,00",,,
-1,-1,-1,"9999999,00",,,
1319,bgm0010.swd,0,"0,00",,,
1343,bgm0010.swd,0,"10,00",,,
1364,bgm0009.swd,0,"0,00",,,
1365,bgm0009.swd,0,"0,00",,,
1369,bgm0092.swd,8,"0,00",,,
1379,bgm0199.swd,0,"0,00",,,
1382,bgm0178.swd,0,"0,00",,,
-1,-1,-1,"9999999,00",,,
1383,bgm0023.swd,0,"0,00",,,
1384,bgm0023.swd,0,"0,00",,,
1386,bgm0056.swd,8,"0,00",,,
1402,bgm0064.swd,7,"0,00",,,
1449,bgm0064.swd,7,"0,00",,,
1482,bgm0034.swd,6,"0,00",,,
1489,bgm0016.swd,6,"0,00",,,
1502,bgm0034.swd,0,"0,00",,,
1570,bgm0039.swd,6,"0,00",,,
1634,bgm0039.swd,6,"0,00",,,
1687,bgm0085.swd,8,"0,00",,,
1690,bgm0085.swd,8,"0,00",,,
1687,bgm0085.swd,8,"0,00",,,
1690,bgm0085.swd,8,"0,00",,,
1694,bgm0148.swd,0,"0,00",,,
1696,bgm0009.swd,0,"0,00",,,
1697,bgm0001.swd,0,"0,00",,,
1850,bgm0001.swd,0,"0,00",,,
2030,bgm0001.swd,0,"0,00",,,
2203,bgm0021.swd,6,"0,00",,,
2252,bgm0003.swd,0,"0,00",,,
2317,bgm0021.swd,6,"0,00",,,
2361,bgm0003.swd,0,"5,00",,,
2412,bgm0074.swd,0,"0,00",,,
2424,bgm0088.swd,6,"41,23",,,
2427,bgm0069.swd,6,"0,00",,,
2438,bgm0088.swd,6,"41,23",,,
2442,bgm0074.swd,0,"0,00",,,
2412,bgm0074.swd,0,"0,00",,,
-1,-1,-1,"9999999,00",,,
2445,bgm0031.swd,0,"0,00",,,
2477,bgm0031.swd,0,"0,00",,,
2518,bgm0016.swd,0,"0,00",,,
2567,bgm0078.swd,0,"0,00",,,
2568,bgm0069.swd,0,"42,72",,,
2571,bgm0193.swd,0,"0,00",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
2572,bgm0016.swd,0,"0,00",,,
2573,bgm0056.swd,0,"0,00",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
2574,bgm0001.swd,0,"0,00",,,
2580,bgm0001.swd,0,"0,00",,,
2587,bgm0001.swd,0,"0,00",,,
2594,bgm0001.swd,0,"40,36",,,
2599,bgm0008.swd,0,"43,86",,,
2603,bgm0007.swd,5,"0,00",,,
2607,bgm0173.swd,0,"0,00",,,
2609,bgm0013.swd,6,"0,00",,,
2632,bgm0075.swd,7,"0,00",,,
2650,bgm0165.swd,0,"0,00",,,
2661,bgm0165.swd,0,"0,00",,,
2672,bgm0165.swd,0,"0,00",,,
2678,bgm0009.swd,0,"0,00",,,
2683,bgm0007.swd,0,"0,00",,,
2688,bgm0090.swd,0,"0,00",,,
2691,bgm0028.swd,0,"0,00",,,
2715,bgm0158.swd,0,"0,00",,,
2716,bgm0017.swd,0,"10,00",,,
2718,bgm0156.swd,0,"136,73",,,
2719,bgm0069.swd,6,"40,00",,,
-1,-1,-1,"9999999,00",,,
2720,bgm0029.swd,6,"20,00",,,
2722,bgm0167.swd,0,"10,00",,,
2730,bgm0167.swd,0,"10,00",,,
2733,bgm0001.swd,0,"0,00",,,
2748,bgm0001.swd,0,"0,00",,,
